a,b,count,color
14,13,96808,#ae6156
14,14,201010,#b16145
14,15,364376,#b36033
14,16,244546,#b5601d
14,17,81239,#b66000
14,18,28291,#b75f00
15,1,19,#006bff
15,2,10405,#0069ff
15,3,35042,#4866ff
15,4,39263,#6764ef
15,5,10061,#7c62de
15,6,1633,#8b60cc
15,7,3087,#975ebb
15,8,5395,#a15daa
15,9,3966,#a85c99
15,10,4299,#af5a88
15,11,5081,#b45978
15,12,8544,#b85967
15,13,8434,#bb5857
15,14,29517,#be5746
15,15,57567,#c05734
15,16,57247,#c2561f
15,17,50033,#c35600
15,18,19300,#c45600
16,1,2805,#0063ff
16,2,10820,#4760ff
16,3,11966,#6a5dff
16,4,1838,#805bf0
16,5,665,#9058de
16,6,636,#9d56cd
16,7,4361,#a854bb
16,8,7040,#b053aa
16,9,4042,#b75199
16,10,4633,#bd5089
16,11,270,#c14e78
16,12,70,#c54d68
16,13,666,#c84d57
16,14,915,#cb4c46
16,15,4356,#cd4b35
16,16,10224,#ce4b21
16,17,14847,#cf4b02
16,18,1830,#d04a00
17,0,153,#005cff
17,1,3164,#4558ff
17,2,3203,#6b55ff
17,3,861,#8352ff
17,4,77,#954ff0
17,5,137,#a34cde
17,6,464,#ae4acd
17,7,382,#b748bc
17,8,1063,#bf45ab
17,9,1076,#c5439a
17,10,5597,#ca4289
17,11,76,#cf4079
17,12,8,#d23f68
17,13,24,#d53e58
17,14,42,#d73d47
17,15,145,#d93c36
17,16,4102,#da3c23
17,17,1962,#db3b06
17,18,10,#dc3b00
18,0,1334,#4150ff
18,1,565,#6c4cff
18,2,66,#8648ff
18,3,4,#9944ff
18,4,29,#a840f0
18,5,107,#b43dde
18,6,114,#be39cd
18,7,121,#c636bc
18,8,121,#cd33ab
18,9,53,#d3319a
18,10,260,#d72e8a
18,11,5,#db2c79
18,12,9,#df2a69
18,13,13,#e12859
18,14,18,#e32748
18,15,40,#e52637
18,16,220,#e62525
18,17,653,#e7240b
19,4,5,#b92af0
19,5,85,#c424df
19,6,28,#cd1ecd
19,7,48,#d418bc
19,8,55,#da10ab
19,10,47,#e4008a
20,4,1,#c900f0
20,6,3,#db00cd
